Subject,StoryEmotion,FaceExpression,RT
45,Fear,Fear,2884
46,Fear,Fear,1852
47,Fear,Fear,1947
48,Fear,Fear,2152
50,Fear,Fear,3147
51,Fear,Fear,1742
52,Fear,Fear,1875
53,Fear,Fear,4226
54,Fear,Fear,1865
55,Fear,Fear,1728
56,Fear,Fear,1222
57,Fear,Fear,2817
58,Fear,Fear,4755
59,Fear,Fear,904
60,Fear,Fear,933
61,Fear,Fear,1110
62,Fear,Fear,2453
63,Fear,Fear,1024
64,Fear,Fear,1590
65,Fear,Fear,1277
66,Fear,Fear,1698
67,Fear,Fear,1446
68,Fear,Fear,1131
69,Fear,Fear,1167
70,Fear,Fear,1997
71,Fear,Fear,5690
39,Fear,Fear,2149
40,Fear,Fear,1467
42,Fear,Fear,2013
44,Fear,Fear,1706
45,Fear,Fear,1101
46,Fear,Fear,1538
47,Fear,Fear,1568
48,Fear,Fear,1562
50,Fear,Fear,5516
51,Fear,Fear,2506
52,Fear,Fear,947
53,Fear,Fear,3408
54,Fear,Fear,2477
55,Fear,Fear,1748
56,Fear,Fear,1329
58,Fear,Fear,2271
59,Fear,Fear,1240
60,Fear,Fear,759
61,Fear,Fear,1253
62,Fear,Fear,2033
63,Fear,Fear,1120
64,Fear,Fear,1436
65,Fear,Fear,1369
66,Fear,Fear,1373
67,Fear,Fear,2120
68,Fear,Fear,1375
69,Fear,Fear,948
70,Fear,Fear,1618
71,Fear,Fear,6088
72,Fear,Fear,3680
